"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0seIvzi|Primary Variety|RED|01|4670196||
0seIvzi|Sub Variety / Color|RED|02|4670196||
0seIvzi|Product SZ Size/Count/Ripeness Designation|45 CT|03|4670196||
0seIvzi|Grade|US #1 FANCY|04|4670196||
0seIvzi|Storage Type|NOT APPLICABLE|05|4670196||
0seIvzi|Packaging|CARTON|06|4670196||
0seIvzi|Growing Area|WESTERN|07|4670196||
0seIvzi|Growing Practices|CONVENTIONAL|08|4670196||
0seIvzi|Product Style|WHOLE FRESH|09|4670196||
0seIvzi|Processing|NOT IDENTIFIED|10|4670196||
0seIvzi|Skin State|SKIN-ON|11|4670196||
0seIvzi|Core State|WITH CORE|12|4670196||
0tdcZ8g|Primary Variety|BOSC|01|9426743||
0tdcZ8g|Sub Variety / Color|NOT IDENTIFIED|02|9426743||
0tdcZ8g|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|9426743||
0tdcZ8g|Grade|US #1 FANCY|04|9426743||
0tdcZ8g|Storage Type|NOT APPLICABLE|05|9426743||
0tdcZ8g|Packaging|CARTON|06|9426743||
0tdcZ8g|Growing Area|WESTERN|07|9426743||
0tdcZ8g|Growing Practices|CONVENTIONAL|08|9426743||
0tdcZ8g|Product Style|WHOLE FRESH|09|9426743||
0tdcZ8g|Processing|NOT IDENTIFIED|10|9426743||
0tdcZ8g|Skin State|SKIN-ON|11|9426743||
0tdcZ8g|Core State|WITH CORE|12|9426743||
0wJ460U|Primary Variety|NOT IDENTIFIED|01|0805400||
0wJ460U|Sub Variety / Color|NOT IDENTIFIED|02|0805400||
0wJ460U|Product SZ Size/Count/Ripeness Designation|45 CT|03|0805400||
0wJ460U|Grade|US #1 FANCY|04|0805400||
0wJ460U|Storage Type|NOT APPLICABLE|05|0805400||
0wJ460U|Packaging|CARTON|06|0805400||
0wJ460U|Growing Area|WESTERN|07|0805400||
0wJ460U|Growing Practices|CONVENTIONAL|08|0805400||
0wJ460U|Product Style|WHOLE FRESH|09|0805400||
0wJ460U|Processing|NOT IDENTIFIED|10|0805400||
0wJ460U|Skin State|SKIN-ON|11|0805400||
0wJ460U|Core State|WITH CORE|12|0805400||
0sLuReQ|Primary Variety|ASIAN|01|8968642||
0sLuReQ|Sub Variety / Color|NOT IDENTIFIED|02|8968642||
